purchase_id,customer_id,date_id,payment_method_id,gross_purchase_amount,bonus_credit,payment_fees,net_deposit,currency,status
1,5534,20250202,2,95.63,23.44,1.92,93.71,EUR,Approved
2,3493,20241028,2,40.76,0.0,0.87,39.89,BRL,Approved
3,2082,20250508,2,32.45,0.0,0.72,31.73,GBP,Approved
4,1353,20250224,2,13.94,0.0,0.36,13.58,MXN,Approved
5,4879,20250904,6,32.56,0.0,0.46,32.1,SEK,Approved
6,2464,20240521,1,61.47,0.0,1.21,60.26,MXN,Approved
7,3801,20240909,2,24.57,0.0,0.57,24.0,EUR,Approved
8,4385,20240313,2,8.57,0.0,0.26,8.31,MXN,Approved
9,1526,20240801,4,108.54,0.0,2.54,106.0,NZD,Approved
10,5856,20250113,2,164.04,0.0,3.22,160.82,EUR,Approved
11,1428,20241025,2,10.79,0.0,0.31,10.48,CAD,Approved
12,4495,20250113,5,22.87,0.0,0.65,22.22,CAD,Approved
13,1010,20250506,4,19.79,0.0,0.59,19.2,BRL,Approved
14,5837,20241030,4,15.86,0.0,0.5,15.36,EUR,Approved
15,1552,20250512,1,74.37,0.0,1.44,72.93,BRL,Approved
16,2991,20240824,2,79.95,0.0,1.62,78.33,NOK,Approved
17,2082,20240817,1,142.57,0.0,2.67,139.9,GBP,Approved
18,5364,20240107,1,110.44,13.96,2.09,108.35,EUR,Approved
19,3052,20240912,3,70.55,0.0,2.13,68.42,EUR,Approved
20,3971,20240619,3,12.2,0.0,0.62,11.58,EUR,Approved
21,1317,20250705,3,79.59,8.81,2.37,77.22,USD,Approved
22,5617,20241014,6,15.44,0.0,0.32,15.12,SEK,Approved
23,2082,20240821,3,70.58,0.0,2.14,68.44,GBP,Approved
24,623,20250507,3,20.5,0.0,0.83,19.67,MXN,Approved
25,1317,20240729,5,82.45,0.0,1.96,80.49,USD,Approved
26,1234,20250101,5,92.81,0.0,2.19,90.62,CAD,Approved
27,709,20240816,2,34.38,1.94,0.75,33.63,EUR,Approved
28,2876,20241210,2,49.15,0.0,1.03,48.12,DKK,Approved
29,1820,20240317,3,49.07,0.0,1.58,47.49,EUR,Approved
30,2906,20250404,4,38.66,0.0,1.0,37.66,EUR,Approved
31,499,20240921,2,45.27,0.0,0.96,44.31,COP,Approved
32,3442,20250518,1,32.47,0.0,0.68,31.79,EUR,Approved
33,3643,20251010,2,14.67,0.0,0.38,14.29,EUR,Approved
34,1555,20250729,5,81.53,0.0,1.94,79.59,GBP,Approved
35,3359,20240901,2,34.49,0.0,0.76,33.73,EUR,Approved
36,1773,20250304,2,82.56,0.0,1.67,80.89,EUR,Chargeback
37,1032,20240331,4,41.57,0.0,1.06,40.51,ARS,Approved
38,4034,20250320,1,85.67,0.0,1.64,84.03,USD,Approved
39,4917,20240820,4,59.19,0.0,1.45,57.74,EUR,Approved
40,1014,20250329,4,88.08,0.0,2.09,85.99,NOK,Approved
41,5278,20241214,5,20.97,0.0,0.61,20.36,EUR,Approved
42,3459,20240403,4,155.47,38.65,3.57,151.9,NZD,Approved
43,4639,20250225,1,19.26,0.0,0.45,18.81,EUR,Approved
44,4088,20250504,4,47.51,6.06,1.2,46.31,CAD,Approved
45,5229,20240503,3,53.99,0.0,1.7,52.29,CAD,Approved
46,393,20250804,4,31.85,0.0,0.85,31.0,NOK,Approved
47,5909,20250906,1,90.21,0.0,1.72,88.49,COP,Approved
48,5194,20240820,2,30.69,7.54,0.68,30.01,EUR,Approved
49,302,20240304,3,94.14,0.0,2.75,91.39,DKK,Approved
50,1552,20250829,2,188.82,0.0,3.69,185.13,BRL,Approved
51,3173,20240611,6,31.4,0.0,0.45,30.95,BRL,Approved
52,5045,20241030,5,25.69,0.0,0.72,24.97,EUR,Approved
53,1824,20241114,1,73.87,0.0,1.43,72.44,EUR,Approved
54,349,20240106,2,64.51,4.73,1.33,63.18,DKK,Approved
55,4701,20241027,2,53.11,0.0,1.11,52.0,EUR,Approved
56,2348,20240410,1,309.06,0.0,5.66,303.4,AUD,Approved
57,4531,20250219,6,19.23,0.0,0.35,18.88,EUR,Approved
58,1889,20241225,3,118.62,0.0,3.38,115.24,USD,Approved
59,4865,20240510,2,21.35,0.0,0.51,20.84,AUD,Approved
60,2082,20250120,1,54.11,0.0,1.07,53.04,GBP,Approved
61,2748,20240120,3,16.57,0.0,0.73,15.84,ARS,Approved
62,5545,20241021,1,24.33,3.42,0.54,23.79,MXN,Approved
63,973,20250130,3,27.22,0.0,1.01,26.21,NZD,Approved
64,3409,20250320,2,111.52,0.0,2.22,109.3,USD,Approved
65,4850,20241018,2,112.59,0.0,2.24,110.35,EUR,Approved
66,4088,20250504,1,54.54,0.0,1.08,53.46,CAD,Approved
67,2279,20241213,1,13.28,0.0,0.34,12.94,EUR,Approved
68,4820,20240921,5,23.55,0.0,0.67,22.88,DKK,Approved
69,2777,20240213,6,39.81,0.0,0.52,39.29,GBP,Approved
70,3754,20240315,5,95.39,0.0,2.25,93.14,EUR,Approved
71,2001,20240222,2,28.56,0.0,0.64,27.92,DKK,Approved
72,388,20241012,2,86.58,0.0,1.75,84.83,EUR,Approved
73,1267,20240306,1,19.83,0.0,0.46,19.37,EUR,Approved
74,2665,20240207,2,80.61,0.0,1.63,78.98,EUR,Declined
75,5316,20250220,1,158.33,0.0,2.95,155.38,USD,Approved
76,836,20250413,6,352.17,0.0,3.02,349.15,EUR,Approved
