bet_id,customer_id,date_id,game_id,stake,payout,bonus_used,grosswin,taxes,promo_cost,netwin
1,3663,20240303,3,24.03,22.74,0.0,1.29,0.03,0.0,1.26
2,724,20241126,5,2.2,2.2,0.0,0.0,0.0,0.0,0.0
3,115,20241025,2,9.72,9.45,0.0,0.27,0.01,0.0,0.26
4,2167,20250904,7,19.64,15.78,0.0,3.86,0.08,0.0,3.78
5,777,20240626,9,9.45,10.2,0.0,-0.75,0.0,0.0,-0.75
6,1899,20240427,7,50.97,55.1,0.0,-4.13,0.0,0.0,-4.13
7,2883,20240818,2,26.96,22.23,0.0,4.73,0.09,0.0,4.64
8,3513,20250705,6,9.5,9.17,0.0,0.33,0.01,0.0,0.32
9,5871,20241221,7,9.25,7.44,0.0,1.81,0.04,0.0,1.77
10,4716,20250607,7,9.57,8.85,0.0,0.72,0.01,0.0,0.71
11,1444,20250401,7,25.85,33.1,0.0,-7.25,0.0,0.0,-7.25
12,4945,20250726,2,8.05,6.74,0.0,1.31,0.03,0.0,1.28
13,3129,20241102,1,21.98,22.69,0.0,-0.71,0.0,0.0,-0.71
14,4020,20250814,4,21.61,19.35,0.0,2.26,0.05,0.0,2.21
15,1984,20241213,9,44.03,38.58,7.77,5.45,0.11,6.22,-0.88
16,1575,20251004,6,6.32,6.29,0.52,0.03,0.0,0.42,-0.39
17,5168,20240410,8,31.88,42.1,0.0,-10.22,0.0,0.0,-10.22
18,1657,20251025,2,14.67,15.14,0.0,-0.47,0.0,0.0,-0.47
19,3775,20250305,2,17.29,18.59,0.0,-1.3,0.0,0.0,-1.3
20,202,20240706,5,16.38,16.24,0.0,0.14,0.0,0.0,0.14
21,1218,20251001,3,10.59,11.19,0.0,-0.6,0.0,0.0,-0.6
22,3451,20240311,1,10.46,11.66,0.0,-1.2,0.0,0.0,-1.2
23,5134,20250205,1,7.86,6.92,0.0,0.94,0.02,0.0,0.92
24,4201,20250415,4,28.34,27.09,0.0,1.25,0.02,0.0,1.23
25,1440,20250529,2,11.18,9.43,0.0,1.75,0.04,0.0,1.71
26,2827,20240610,7,22.92,19.98,0.0,2.94,0.06,0.0,2.88
27,2017,20241024,2,21.3,17.08,0.0,4.22,0.08,0.0,4.14
28,3139,20241119,2,2.6,3.07,0.0,-0.47,0.0,0.0,-0.47
29,4207,20250502,3,12.21,11.07,0.0,1.14,0.02,0.0,1.12
30,4747,20240512,1,5.57,5.75,0.0,-0.18,0.0,0.0,-0.18
31,1211,20250620,2,4.13,4.77,0.0,-0.64,0.0,0.0,-0.64
32,3734,20240126,1,19.33,16.32,0.0,3.01,0.06,0.0,2.95
33,266,20250424,3,11.26,11.69,0.0,-0.43,0.0,0.0,-0.43
34,3563,20240106,2,6.98,7.21,0.0,-0.23,0.0,0.0,-0.23
35,4646,20250215,6,10.76,10.61,3.09,0.15,0.0,2.47,-2.32
36,4565,20241113,5,14.3,14.85,0.0,-0.55,0.0,0.0,-0.55
37,3346,20250531,3,27.71,30.4,0.0,-2.69,0.0,0.0,-2.69
38,5303,20250801,5,16.3,16.42,0.0,-0.12,0.0,0.0,-0.12
39,678,20240623,1,11.94,11.79,2.56,0.15,0.0,2.05,-1.9
40,2488,20240618,7,5.33,5.65,0.81,-0.32,0.0,0.65,-0.97
41,2167,20240801,1,15.04,11.62,0.0,3.42,0.07,0.0,3.35
42,1194,20240314,1,1.45,1.47,0.0,-0.02,0.0,0.0,-0.02
43,430,20241031,7,22.6,22.17,0.0,0.43,0.01,0.0,0.42
44,1622,20240629,2,21.8,13.82,0.0,7.98,0.16,0.0,7.82
45,3288,20241103,2,6.19,7.12,0.0,-0.93,0.0,0.0,-0.93
46,1056,20250207,2,23.48,31.19,0.0,-7.71,0.0,0.0,-7.71
47,571,20240103,6,4.99,4.95,0.0,0.04,0.0,0.0,0.04
48,417,20250203,2,10.08,8.81,0.0,1.27,0.03,0.0,1.24
49,3242,20241102,10,29.94,22.39,0.0,7.55,0.15,0.0,7.4
50,3195,20241114,1,6.23,5.69,0.0,0.54,0.01,0.0,0.53
51,3168,20250823,1,2.94,2.99,0.0,-0.05,0.0,0.0,-0.05
52,3529,20241209,8,17.76,16.76,0.0,1.0,0.02,0.0,0.98
53,5793,20250625,3,6.49,6.19,1.05,0.3,0.01,0.84,-0.55
54,3652,20240714,2,5.04,5.04,0.0,0.0,0.0,0.0,0.0
55,1499,20250921,2,14.11,12.1,0.0,2.01,0.04,0.0,1.97
56,3744,20240407,1,8.66,8.61,0.0,0.05,0.0,0.0,0.05
57,5065,20240801,1,12.76,10.72,0.0,2.04,0.04,0.0,2.0
58,1981,20250324,3,5.41,4.81,0.0,0.6,0.01,0.0,0.59
59,3663,20240803,5,17.53,18.15,0.0,-0.62,0.0,0.0,-0.62
60,447,20241027,1,4.81,4.88,0.0,-0.07,0.0,0.0,-0.07
61,4046,20240528,2,17.11,18.19,0.0,-1.08,0.0,0.0,-1.08
62,5397,20240808,1,45.94,35.14,0.0,10.8,0.22,0.0,10.58
63,4563,20240920,1,16.98,17.82,0.0,-0.84,0.0,0.0,-0.84
64,4865,20250605,7,5.58,5.43,0.0,0.15,0.0,0.0,0.15
65,4929,20250116,1,3.55,3.62,0.0,-0.07,0.0,0.0,-0.07
66,37,20250206,1,6.33,7.33,0.0,-1.0,0.0,0.0,-1.0
67,594,20240229,2,13.77,11.74,0.0,2.03,0.04,0.0,1.99
68,3242,20240825,1,9.4,8.8,0.0,0.6,0.01,0.0,0.59
69,5941,20240711,9,0.69,0.58,0.0,0.11,0.0,0.0,0.11
70,4145,20250910,9,18.29,19.31,0.0,-1.02,0.0,0.0,-1.02
71,4922,20250912,1,13.16,13.24,0.0,-0.08,0.0,0.0,-0.08
72,595,20240728,3,21.34,23.06,0.0,-1.72,0.0,0.0,-1.72
73,2425,20241126,8,11.17,9.83,0.0,1.34,0.03,0.0,1.31
74,766,20250623,1,21.54,24.57,0.0,-3.03,0.0,0.0,-3.03
75,5054,20250330,9,11.62,9.24,0.0,2.38,0.05,0.0,2.33
76,1914,20250126,6,21.45,21.85,0.0,-0.4,0.0,0.0,-0.4
77,5071,20250925,7,9.24,10.39,0.0,-1.15,0.0,0.0,-1.15
78,5492,20250801,1,11.12,10.12,0.0,1.0,0.02,0.0,0.98
79,1438,20241101,6,25.78,25.51,0.0,0.27,0.01,0.0,0.26
80,5842,20240928,9,9.84,7.6,0.0,2.24,0.04,0.0,2.2
81,152,20240325,9,17.22,17.71,0.0,-0.49,0.0,0.0,-0.49
82,2791,20240131,9,13.32,14.68,0.0,-1.36,0.0,0.0,-1.36
83,2613,20240624,5,20.13,19.35,0.0,0.78,0.02,0.0,0.76
84,57,20241115,1,1.2,0.97,0.0,0.23,0.0,0.0,0.23
85,5953,20250611,3,18.05,17.87,0.0,0.18,0.0,0.0,0.18
86,3811,20240512,7,13.26,13.79,0.0,-0.53,0.0,0.0,-0.53
87,5848,20240908,2,8.39,7.4,0.0,0.99,0.02,0.0,0.97
88,5778,20240629,5,38.53,41.96,0.0,-3.43,0.0,0.0,-3.43
89,2718,20250805,4,2.87,2.81,0.0,0.06,0.0,0.0,0.06
90,3983,20240424,2,4.57,5.75,0.0,-1.18,0.0,0.0,-1.18
91,1143,20240203,7,7.91,7.86,1.62,0.05,0.0,1.3,-1.25
92,1663,20250405,7,17.08,14.64,0.0,2.44,0.05,0.0,2.39
93,3089,20240910,4,35.46,34.67,0.0,0.79,0.02,0.0,0.77
94,3797,20250505,4,44.17,41.94,0.0,2.23,0.04,0.0,2.19
95,4815,20250129,2,11.55,16.31,0.71,-4.76,0.0,0.57,-5.33
96,850,20241111,6,5.51,5.53,0.0,-0.02,0.0,0.0,-0.02
97,3775,20250831,2,13.77,16.21,0.0,-2.44,0.0,0.0,-2.44
98,825,20241207,1,8.03,9.56,0.0,-1.53,0.0,0.0,-1.53
99,5483,20250725,3,9.29,9.52,0.0,-0.23,0.0,0.0,-0.23
100,2887,20250424,3,2.4,2.61,0.0,-0.21,0.0,0.0,-0.21
101,4550,20250704,1,42.46,43.63,0.0,-1.17,0.0,0.0,-1.17
102,119,20240516,6,31.74,30.65,0.0,1.09,0.02,0.0,1.07
103,2705,20250624,10,16.1,14.65,0.0,1.45,0.03,0.0,1.42
104,3729,20241004,2,3.88,4.3,0.0,-0.42,0.0,0.0,-0.42
105,2499,20250131,7,2.99,1.7,0.0,1.29,0.03,0.0,1.26
106,3432,20250507,6,10.37,10.39,0.0,-0.02,0.0,0.0,-0.02
107,3376,20240927,10,11.15,11.91,0.0,-0.76,0.0,0.0,-0.76
108,1732,20240114,8,29.48,31.16,0.0,-1.68,0.0,0.0,-1.68
109,3364,20250525,1,4.44,3.78,0.0,0.66,0.01,0.0,0.65
110,834,20250921,3,12.08,11.82,0.0,0.26,0.01,0.0,0.25
111,302,20250529,8,16.32,8.93,0.0,7.39,0.15,0.0,7.24
112,3654,20250721,2,5.43,5.95,0.0,-0.52,0.0,0.0,-0.52
113,4687,20240404,3,6.48,6.38,0.0,0.1,0.0,0.0,0.1
114,2040,20241017,7,11.08,12.26,0.0,-1.18,0.0,0.0,-1.18
115,1073,20240704,5,3.12,2.98,0.0,0.14,0.0,0.0,0.14
116,992,20250416,2,5.31,4.93,0.41,0.38,0.01,0.33,0.04
117,783,20241111,1,10.37,8.7,0.0,1.67,0.03,0.0,1.64
118,3422,20250620,3,31.65,35.11,0.0,-3.46,0.0,0.0,-3.46
119,4028,20240827,4,1.47,1.53,0.0,-0.06,0.0,0.0,-0.06
120,3872,20250226,5,9.99,9.68,0.0,0.31,0.01,0.0,0.3
121,709,20250218,1,20.06,15.49,0.0,4.57,0.09,0.0,4.48
122,1994,20250903,1,37.43,29.51,0.0,7.92,0.16,0.0,7.76
123,2835,20240623,5,13.15,13.34,0.0,-0.19,0.0,0.0,-0.19
124,2645,20250901,4,19.95,18.0,0.0,1.95,0.04,0.0,1.91
125,5128,20250808,2,10.51,11.81,0.0,-1.3,0.0,0.0,-1.3
126,5494,20250507,1,6.53,6.74,0.0,-0.21,0.0,0.0,-0.21
127,801,20250123,4,14.68,13.33,0.0,1.35,0.03,0.0,1.32
128,4100,20240121,7,6.61,6.93,1.69,-0.32,0.0,1.35,-1.67
129,1945,20240101,4,26.05,25.16,0.0,0.89,0.02,0.0,0.87
130,5842,20240721,2,180.65,232.67,0.0,-52.02,0.0,0.0,-52.02
131,1562,20250823,3,4.52,4.67,0.0,-0.15,0.0,0.0,-0.15
132,5181,20240818,3,13.39,12.47,0.0,0.92,0.02,0.0,0.9
133,681,20250119,9,17.25,13.78,0.0,3.47,0.07,0.0,3.4
134,1934,20240807,7,13.95,12.34,0.0,1.61,0.03,0.0,1.58
135,2050,20240321,2,15.44,15.12,0.0,0.32,0.01,0.0,0.31
136,2725,20250904,2,11.99,12.52,0.0,-0.53,0.0,0.0,-0.53
137,3383,20250830,1,14.5,12.52,0.0,1.98,0.04,0.0,1.94
138,4318,20240716,2,1.78,1.91,0.25,-0.13,0.0,0.2,-0.33
139,4678,20240224,2,2.47,2.57,0.0,-0.1,0.0,0.0,-0.1
140,1692,20240425,4,8.88,8.22,0.0,0.66,0.01,0.0,0.65
141,2536,20240805,5,1.21,1.22,0.0,-0.01,0.0,0.0,-0.01
142,3892,20240209,3,10.02,9.34,0.0,0.68,0.01,0.0,0.67
143,2559,20250127,2,9.32,8.2,0.0,1.12,0.02,0.0,1.1
144,1590,20240210,7,6.46,4.27,0.0,2.19,0.04,0.0,2.15
145,4606,20250926,4,24.87,23.66,0.0,1.21,0.02,0.0,1.19
146,2324,20250316,9,10.85,9.45,2.12,1.4,0.03,1.7,-0.33
147,3197,20241230,1,22.19,22.91,0.0,-0.72,0.0,0.0,-0.72
148,1199,20250209,8,10.45,12.16,0.0,-1.71,0.0,0.0,-1.71
149,3612,20250929,7,15.1,18.12,0.0,-3.02,0.0,0.0,-3.02
150,5087,20251031,4,6.93,6.8,0.0,0.13,0.0,0.0,0.13
151,5136,20250121,3,10.32,10.3,0.0,0.02,0.0,0.0,0.02
152,2397,20250716,4,5.87,6.0,0.0,-0.13,0.0,0.0,-0.13
153,1426,20241215,1,4.84,4.38,0.0,0.46,0.01,0.0,0.45
154,4721,20240815,5,4.41,4.15,0.0,0.26,0.01,0.0,0.25
155,4893,20240505,1,14.25,18.6,0.0,-4.35,0.0,0.0,-4.35
156,3208,20250327,9,22.58,19.97,0.0,2.61,0.05,0.0,2.56
157,243,20240409,7,7.6,6.95,0.0,0.65,0.01,0.0,0.64
158,1418,20250425,2,5.14,6.17,0.0,-1.03,0.0,0.0,-1.03
159,1883,20240718,9,4.52,2.72,0.0,1.8,0.04,0.0,1.76
160,555,20250212,9,8.16,6.55,0.0,1.61,0.03,0.0,1.58
161,4920,20250220,2,29.6,25.18,0.0,4.42,0.09,0.0,4.33
162,4991,20250607,1,1.53,1.32,0.0,0.21,0.0,0.0,0.21
163,1618,20250107,1,16.38,14.82,1.75,1.56,0.03,1.4,0.13
164,708,20250119,6,18.0,16.42,2.73,1.58,0.03,2.18,-0.63
165,3417,20241229,2,26.27,30.17,0.0,-3.9,0.0,0.0,-3.9
166,1725,20241117,1,34.12,32.64,0.0,1.48,0.03,0.0,1.45
167,4904,20250218,6,6.28,5.92,0.0,0.36,0.01,0.0,0.35
168,4780,20240930,9,21.94,18.94,0.0,3.0,0.06,0.0,2.94
169,277,20240321,3,14.48,14.31,0.0,0.17,0.0,0.0,0.17
170,104,20240317,5,8.21,7.7,0.0,0.51,0.01,0.0,0.5
171,2552,20250804,9,14.66,10.5,0.0,4.16,0.08,0.0,4.08
172,5156,20250112,2,31.46,34.64,0.0,-3.18,0.0,0.0,-3.18
173,1907,20240122,2,28.61,37.89,0.0,-9.28,0.0,0.0,-9.28
174,557,20250410,1,2.92,2.74,0.0,0.18,0.0,0.0,0.18
175,356,20240821,7,17.56,18.11,0.0,-0.55,0.0,0.0,-0.55
176,879,20240808,4,14.64,13.88,0.0,0.76,0.02,0.0,0.74
177,4512,20240327,9,22.03,21.29,0.0,0.74,0.01,0.0,0.73
178,4904,20250119,3,37.52,38.47,0.0,-0.95,0.0,0.0,-0.95
179,3110,20250214,4,4.33,4.57,0.0,-0.24,0.0,0.0,-0.24
180,4391,20240215,2,16.8,20.24,0.0,-3.44,0.0,0.0,-3.44
181,3237,20250506,5,3.03,2.94,0.0,0.09,0.0,0.0,0.09
182,3587,20250119,2,8.05,7.35,0.0,0.7,0.01,0.0,0.69
183,2958,20240920,6,17.42,16.56,0.0,0.86,0.02,0.0,0.84
184,5941,20240130,2,29.22,29.71,0.0,-0.49,0.0,0.0,-0.49
185,5377,20250415,1,30.41,30.13,0.0,0.28,0.01,0.0,0.27
186,2415,20240212,2,2.42,2.89,0.0,-0.47,0.0,0.0,-0.47
187,272,20241113,3,92.8,92.92,0.0,-0.12,0.0,0.0,-0.12
188,4161,20250914,2,7.21,7.52,0.0,-0.31,0.0,0.0,-0.31
189,4917,20240117,7,32.15,33.9,0.0,-1.75,0.0,0.0,-1.75
190,2690,20240811,1,17.1,18.8,0.0,-1.7,0.0,0.0,-1.7
191,776,20240218,5,18.86,18.62,0.0,0.24,0.0,0.0,0.24
192,360,20241115,10,23.86,35.35,0.0,-11.49,0.0,0.0,-11.49
193,599,20240411,1,21.97,17.14,0.0,4.83,0.1,0.0,4.73
194,3892,20250930,3,13.14,13.61,0.0,-0.47,0.0,0.0,-0.47
195,4865,20240811,2,6.04,5.75,0.0,0.29,0.01,0.0,0.28
196,3679,20241113,4,15.95,16.13,2.67,-0.18,0.0,2.14,-2.32
197,3319,20240316,6,11.91,11.8,0.0,0.11,0.0,0.0,0.11
198,3806,20241120,5,11.64,11.5,3.34,0.14,0.0,2.67,-2.53
199,3765,20240120,1,15.54,12.84,0.0,2.7,0.05,0.0,2.65
200,1742,20250121,7,2.99,2.78,0.0,0.21,0.0,0.0,0.21
201,3940,20251008,1,8.18,7.48,0.0,0.7,0.01,0.0,0.69
202,4132,20240930,1,8.85,5.3,0.0,3.55,0.07,0.0,3.48
203,2174,20250722,9,1.44,1.07,0.0,0.37,0.01,0.0,0.36
204,2174,20240108,1,6.41,7.58,0.0,-1.17,0.0,0.0,-1.17
205,4937,20250613,2,20.31,16.68,0.0,3.63,0.07,0.0,3.56
206,1901,20251012,1,9.07,7.72,0.0,1.35,0.03,0.0,1.32
207,3099,20251006,2,4.05,4.08,0.0,-0.03,0.0,0.0,-0.03
208,4049,20240702,3,12.51,11.91,0.0,0.6,0.01,0.0,0.59
209,705,20241205,1,17.89,20.55,0.0,-2.66,0.0,0.0,-2.66
210,2296,20240913,7,31.65,30.82,0.0,0.83,0.02,0.0,0.81
211,1809,20250928,7,4.64,2.76,0.0,1.88,0.04,0.0,1.84
212,3208,20240105,7,9.95,6.92,0.0,3.03,0.06,0.0,2.97
213,3273,20240124,6,42.59,41.37,0.0,1.22,0.02,0.0,1.2
214,4441,20240822,5,24.27,23.16,0.0,1.11,0.02,0.0,1.09
215,4789,20240805,1,5.65,4.26,0.0,1.39,0.03,0.0,1.36
216,2827,20240907,2,5.97,5.48,0.0,0.49,0.01,0.0,0.48
217,3903,20240719,2,282.0,262.02,0.0,19.98,0.4,0.0,19.58
218,2264,20240514,3,12.53,12.09,0.0,0.44,0.01,0.0,0.43
219,694,20250621,1,23.61,26.74,0.0,-3.13,0.0,0.0,-3.13
220,2262,20250122,1,15.4,19.18,0.0,-3.78,0.0,0.0,-3.78
221,5105,20240613,4,6.44,6.08,0.0,0.36,0.01,0.0,0.35
222,309,20240618,2,34.6,31.01,0.0,3.59,0.07,0.0,3.52
223,5543,20240702,1,11.76,11.47,0.0,0.29,0.01,0.0,0.28
224,3158,20250520,2,4.67,3.78,1.08,0.89,0.02,0.86,0.01
225,3587,20240924,1,13.43,13.35,0.0,0.08,0.0,0.0,0.08
226,2833,20240508,1,5.74,4.99,0.74,0.75,0.02,0.59,0.14
227,3066,20240509,8,0.68,0.79,0.0,-0.11,0.0,0.0,-0.11
228,5684,20241005,4,4.83,4.83,0.0,0.0,0.0,0.0,0.0
229,1347,20240721,8,56.06,52.42,0.0,3.64,0.07,0.0,3.57
230,97,20250930,2,17.67,16.97,0.0,0.7,0.01,0.0,0.69
231,1057,20240226,5,20.89,20.43,0.0,0.46,0.01,0.0,0.45
232,5851,20240203,5,2.71,2.74,0.0,-0.03,0.0,0.0,-0.03
233,2702,20240225,5,30.82,29.52,0.0,1.3,0.03,0.0,1.27
234,5321,20240929,6,7.97,7.74,0.0,0.23,0.0,0.0,0.23
235,4341,20240714,2,12.61,13.83,0.0,-1.22,0.0,0.0,-1.22
236,561,20241002,4,11.47,11.42,0.0,0.05,0.0,0.0,0.05
237,5665,20251020,4,14.83,13.78,2.76,1.05,0.02,2.21,-1.18
238,5776,20240228,1,7.23,7.03,0.0,0.2,0.0,0.0,0.2
239,3654,20240609,2,8.11,9.13,0.0,-1.02,0.0,0.0,-1.02
240,4420,20250915,1,9.35,6.97,0.0,2.38,0.05,0.0,2.33
241,4195,20250414,5,20.04,19.64,0.0,0.4,0.01,0.0,0.39
242,198,20241023,2,2.76,2.18,0.0,0.58,0.01,0.0,0.57
243,5269,20240215,8,9.45,6.45,0.0,3.0,0.06,0.0,2.94
244,2858,20240130,1,11.28,6.77,0.0,4.51,0.09,0.0,4.42
245,5942,20250723,6,13.01,13.12,0.0,-0.11,0.0,0.0,-0.11
246,5316,20240807,1,2.81,2.97,0.22,-0.16,0.0,0.18,-0.34
247,498,20250905,1,1.83,1.82,0.0,0.01,0.0,0.0,0.01
248,2509,20250102,7,1.49,1.05,0.0,0.44,0.01,0.0,0.43
249,620,20241012,7,28.01,25.93,0.0,2.08,0.04,0.0,2.04
250,4179,20250216,8,14.72,12.82,0.0,1.9,0.04,0.0,1.86
251,3693,20241022,8,10.57,12.2,2.1,-1.63,0.0,1.68,-3.31
252,5388,20240912,1,2.08,2.31,0.26,-0.23,0.0,0.21,-0.44
253,317,20250110,3,3.14,2.76,0.0,0.38,0.01,0.0,0.37
254,4949,20250202,3,15.18,13.78,2.6,1.4,0.03,2.08,-0.71
255,3632,20250831,3,12.53,11.97,0.0,0.56,0.01,0.0,0.55
256,3917,20250605,7,18.79,17.84,0.0,0.95,0.02,0.0,0.93
257,45,20250227,4,8.68,7.84,0.0,0.84,0.02,0.0,0.82
258,3411,20250812,4,12.39,12.96,0.0,-0.57,0.0,0.0,-0.57
259,3807,20250827,2,6.56,5.97,0.0,0.59,0.01,0.0,0.58
260,5385,20250729,2,18.29,22.21,0.0,-3.92,0.0,0.0,-3.92
261,5575,20240820,7,8.22,7.46,0.0,0.76,0.02,0.0,0.74
262,5224,20240326,2,20.12,20.51,0.0,-0.39,0.0,0.0,-0.39
263,5851,20241007,7,9.62,9.11,0.0,0.51,0.01,0.0,0.5
264,528,20240301,2,5.74,6.58,0.0,-0.84,0.0,0.0,-0.84
265,5093,20241203,1,7.28,7.62,0.0,-0.34,0.0,0.0,-0.34
266,5186,20240704,5,10.73,10.24,0.0,0.49,0.01,0.0,0.48
