bonus_id,user_id,bonus_type_id,award_ts,award_date_id,bonus_amount,is_redeemed_flag,redeem_ts,redeem_date_id
BON00000001,U0001621,2,2019-11-13 01:00:00,20191113,500.0,1,2019-11-16 16:05:38,20191116.0
BON00000002,U0003430,3,2020-11-08 18:00:00,20201108,200.0,1,2020-11-13 16:35:59,20201113.0
BON00000003,U0002582,5,2022-10-02 17:00:00,20221002,2000.0,0,,
BON00000004,U0000816,1,2022-11-01 13:00:00,20221101,100.0,1,2022-11-05 23:31:51,20221105.0
BON00000005,U0003420,4,2024-07-22 11:00:00,20240722,2000.0,1,2024-07-23 14:15:17,20240723.0
BON00000006,U0001110,2,2022-07-02 02:00:00,20220702,10000.0,1,2022-07-07 09:06:32,20220707.0
BON00000007,U0003274,1,2024-03-29 04:00:00,20240329,20.0,0,,
BON00000008,U0003174,4,2020-10-25 02:00:00,20201025,2000.0,1,2020-11-01 17:49:27,20201101.0
BON00000009,U0000672,1,2019-09-28 21:00:00,20190928,200.0,0,,
BON00000010,U0002041,1,2020-10-28 03:00:00,20201028,200.0,1,2020-10-28 13:15:50,20201028.0
BON00000011,U0001401,4,2025-04-14 21:00:00,20250414,500.0,1,2025-04-23 04:26:21,20250423.0
BON00000012,U0003330,2,2022-07-28 05:00:00,20220728,1000.0,1,2022-07-29 11:49:50,20220729.0
BON00000013,U0000638,2,2021-02-13 16:00:00,20210213,1000.0,0,,
BON00000014,U0000364,1,2019-02-26 01:00:00,20190226,20.0,0,,
BON00000015,U0000716,2,2019-03-21 20:00:00,20190321,2000.0,0,,
BON00000016,U0000465,3,2023-02-23 19:00:00,20230223,500.0,0,,
BON00000017,U0000843,2,2022-01-02 14:00:00,20220102,2000.0,1,2022-01-13 05:38:45,20220113.0
BON00000018,U0001006,1,2024-01-06 02:00:00,20240106,50.0,1,2024-01-21 15:04:32,20240121.0
BON00000019,U0000689,3,2023-11-25 17:00:00,20231125,1000.0,1,2023-12-04 19:47:43,20231204.0
BON00000020,U0003473,1,2025-06-22 08:00:00,20250622,200.0,0,,
BON00000021,U0003071,4,2024-09-02 07:00:00,20240902,500.0,1,2024-09-18 02:15:28,20240918.0
BON00000022,U0003978,5,2020-07-07 17:00:00,20200707,20000.0,1,2020-07-07 18:51:50,20200707.0
BON00000023,U0002443,4,2019-04-29 07:00:00,20190429,1000.0,1,2019-05-08 00:46:07,20190508.0
BON00000024,U0003219,1,2024-08-10 16:00:00,20240810,50.0,1,2024-08-30 00:55:48,20240830.0
BON00000025,U0003212,5,2020-02-17 02:00:00,20200217,5000.0,0,,
BON00000026,U0002671,1,2020-06-17 16:00:00,20200617,200.0,1,2020-06-20 09:11:19,20200620.0
BON00000027,U0003138,4,2020-04-01 13:00:00,20200401,500.0,0,,
BON00000028,U0003350,4,2024-08-13 08:00:00,20240813,3000.0,1,2024-09-01 12:21:26,20240901.0
