purchase_id,user_id,purchase_date_id,purchase_amount,currency,payment_method,purchase_status,bonus_granted_amount,is_first_deposit_flag
P00015309,U0000001,20200519,10.79,GBP,Crypto,Completed,0.0,1
P00004524,U0000001,20201201,10.97,USD,Crypto,Completed,0.0,0
P00002509,U0000002,20191106,45.78,EUR,Bank Transfer,Completed,18.25,1
P00002989,U0000002,20230524,101.73,GBP,Bank Transfer,Failed,19.2,0
P00009428,U0000002,20240729,29.16,GBP,Card,Completed,0.0,0
P00002675,U0000002,20240821,32.19,USD,Crypto,Completed,8.76,0
P00000289,U0000002,20250717,29.25,USD,Card,Completed,0.0,0
P00013491,U0000003,20211008,10.08,EUR,Crypto,Completed,3.6,1
P00002165,U0000003,20220528,209.66,GBP,Card,Completed,87.06,0
P00006455,U0000003,20231209,21.04,USD,E-Wallet,Completed,7.86,0
P00017938,U0000003,20240723,183.83,GBP,E-Wallet,Failed,0.0,0
P00017337,U0000003,20251108,18.81,EUR,Crypto,Completed,0.0,0
P00014766,U0000004,20200913,10.84,EUR,Card,Completed,0.0,1
P00001325,U0000004,20230329,18.67,USD,E-Wallet,Completed,8.74,0
P00000579,U0000005,20200511,93.61,EUR,Card,Completed,42.51,1
P00010021,U0000005,20250217,30.46,GBP,E-Wallet,Completed,15.02,0
P00007502,U0000006,20200906,30.13,EUR,Card,Completed,8.69,1
P00001320,U0000006,20250927,18.87,USD,Card,Completed,0.0,0
P00017240,U0000007,20210616,9.63,USD,E-Wallet,Completed,1.27,1
P00014965,U0000007,20230201,32.49,GBP,Crypto,Completed,0.0,0
P00004668,U0000007,20230819,108.84,USD,Bank Transfer,Completed,45.45,0
P00014421,U0000007,20240908,9.48,GBP,E-Wallet,Completed,3.81,0
P00015598,U0000008,20230306,18.3,EUR,Crypto,Completed,4.03,1
P00005487,U0000008,20230318,18.32,EUR,Crypto,Completed,2.77,0
P00008175,U0000008,20240413,9.91,EUR,Bank Transfer,Completed,0.0,0
P00004088,U0000008,20251107,10.28,GBP,Card,Completed,0.0,0
P00000997,U0000010,20190211,31.24,EUR,Card,Completed,9.01,1
P00005739,U0000010,20190822,21.7,USD,E-Wallet,Completed,0.0,0
P00003034,U0000010,20200216,52.29,GBP,Bank Transfer,Completed,11.07,0
P00013671,U0000010,20220713,18.06,USD,Crypto,Completed,6.38,0
P00001373,U0000010,20230626,9.55,GBP,E-Wallet,Completed,0.0,0
P00005532,U0000010,20250311,9.24,EUR,E-Wallet,Completed,3.6,0
P00017564,U0000011,20190711,48.69,EUR,Bank Transfer,Completed,0.0,1
P00013847,U0000011,20191027,32.12,GBP,Card,Completed,0.0,0
P00002116,U0000011,20220829,10.04,EUR,E-Wallet,Completed,0.0,0
P00006936,U0000011,20231108,10.56,EUR,Card,Completed,2.61,0
P00001529,U0000011,20241210,214.56,GBP,Bank Transfer,Completed,0.0,0
P00000716,U0000012,20191221,9.91,USD,E-Wallet,Completed,2.36,1
P00002933,U0000012,20200104,20.92,USD,Bank Transfer,Completed,3.24,0
P00007956,U0000012,20210619,9.81,USD,Crypto,Completed,0.0,0
P00016559,U0000012,20220512,53.61,USD,Bank Transfer,Completed,0.0,0
