session_id,user_id,channel_id,session_start_ts,session_start_date_id,session_end_ts,session_end_date_id,duration_minutes
S000000001,U0001711,3,2024-11-30 13:27:00,20241130,2024-11-30 13:42:22,20241130,15.37
S000000002,U0000638,1,2022-10-24 17:40:00,20221024,2022-10-24 18:01:42,20221024,21.71
S000000003,U0001158,3,2025-03-29 11:59:00,20250329,2025-03-29 12:15:05,20250329,16.09
S000000004,U0001758,4,2020-08-19 00:29:00,20200819,2020-08-19 00:43:26,20200819,14.44
S000000005,U0002484,1,2024-04-22 14:20:00,20240422,2024-04-22 15:10:39,20240422,50.66
S000000006,U0001028,3,2023-06-03 23:58:00,20230603,2023-06-04 00:22:52,20230604,24.87
S000000007,U0002412,3,2020-03-18 06:56:00,20200318,2020-03-18 07:29:43,20200318,33.72
S000000008,U0001679,1,2025-08-11 06:33:00,20250811,2025-08-11 06:52:25,20250811,19.42
S000000009,U0000368,1,2023-09-07 11:07:00,20230907,2023-09-07 11:38:55,20230907,31.93
S000000010,U0002833,1,2020-10-13 15:09:00,20201013,2020-10-13 15:19:23,20201013,10.39
S000000011,U0001139,1,2024-07-04 05:37:00,20240704,2024-07-04 05:54:42,20240704,17.71
S000000012,U0000549,3,2023-05-06 19:11:00,20230506,2023-05-06 19:33:23,20230506,22.38
S000000013,U0002003,1,2019-05-08 18:11:00,20190508,2019-05-08 18:31:17,20190508,20.29
S000000014,U0002602,1,2022-12-24 18:57:00,20221224,2022-12-24 19:02:02,20221224,5.05
S000000015,U0000735,1,2025-11-01 11:39:00,20251101,2025-11-01 12:04:06,20251101,25.11
S000000016,U0003689,1,2019-05-29 05:56:00,20190529,2019-05-29 06:33:27,20190529,37.46
S000000017,U0000567,1,2022-07-29 23:52:00,20220729,2022-07-30 00:27:07,20220730,35.12
S000000018,U0003649,1,2024-12-06 03:22:00,20241206,2024-12-06 03:34:26,20241206,12.45
S000000019,U0001324,1,2019-12-22 17:54:00,20191222,2019-12-22 18:04:56,20191222,10.94
S000000020,U0002653,1,2023-05-22 11:30:00,20230522,2023-05-22 11:38:30,20230522,8.51
S000000021,U0003132,1,2022-10-28 10:46:00,20221028,2022-10-28 11:13:23,20221028,27.39
S000000022,U0003935,1,2023-07-30 05:31:00,20230730,2023-07-30 06:02:35,20230730,31.59
S000000023,U0002281,4,2020-06-08 10:59:00,20200608,2020-06-08 11:07:09,20200608,8.15
S000000024,U0003666,1,2024-10-25 16:40:00,20241025,2024-10-25 16:55:41,20241025,15.68
S000000025,U0001523,1,2022-02-02 04:05:00,20220202,2022-02-02 04:17:34,20220202,12.57
S000000026,U0003382,4,2021-04-29 14:56:00,20210429,2021-04-29 15:28:37,20210429,32.62
S000000027,U0000716,1,2019-09-30 07:52:00,20190930,2019-09-30 08:16:44,20190930,24.74
S000000028,U0000942,1,2021-03-31 10:28:00,20210331,2021-03-31 10:39:06,20210331,11.1
S000000029,U0000062,1,2024-03-03 12:15:00,20240303,2024-03-03 12:50:30,20240303,35.51
S000000030,U0002784,3,2024-09-16 01:30:00,20240916,2024-09-16 01:35:28,20240916,5.48
S000000031,U0002423,3,2019-07-07 22:47:00,20190707,2019-07-07 22:57:06,20190707,10.11
S000000032,U0001832,1,2020-04-11 09:08:00,20200411,2020-04-11 09:25:52,20200411,17.87
S000000033,U0003826,1,2020-03-13 13:39:00,20200313,2020-03-13 14:00:22,20200313,21.37
S000000034,U0003699,1,2025-09-08 03:26:00,20250908,2025-09-08 03:46:43,20250908,20.72
S000000035,U0002683,1,2024-01-13 15:40:00,20240113,2024-01-13 15:44:10,20240113,4.17
S000000036,U0000661,3,2021-11-16 06:43:00,20211116,2021-11-16 07:19:11,20211116,36.19
S000000037,U0002946,1,2019-03-20 16:32:00,20190320,2019-03-20 16:46:55,20190320,14.92
S000000038,U0001059,1,2019-12-12 06:29:00,20191212,2019-12-12 06:42:57,20191212,13.95
S000000039,U0003159,1,2021-09-20 20:31:00,20210920,2021-09-20 20:42:08,20210920,11.14
S000000040,U0001629,1,2019-04-09 17:15:00,20190409,2019-04-09 17:30:04,20190409,15.07
S000000041,U0000001,1,2025-05-04 15:48:00,20250504,2025-05-04 16:09:18,20250504,21.31
S000000042,U0002491,3,2025-08-22 16:52:00,20250822,2025-08-22 17:43:48,20250822,51.81
S000000043,U0003899,3,2023-03-29 21:21:00,20230329,2023-03-29 21:54:35,20230329,33.6
