spin_id,session_id,user_id,channel_id,game_id,spin_ts,spin_date_id,stake_amount,payout_amount,profit_amount
SP000000001,S000000003,U0001158,3,G000099,2025-03-29 12:13:27,20250329,59.03,52.64,6.39
SP000000002,S000000004,U0001758,4,G000003,2020-08-19 00:34:22,20200819,104.86,455.56,-350.7
SP000000003,S000000004,U0001758,4,G000003,2020-08-19 00:42:44,20200819,112.92,24.22,88.7
SP000000004,S000000004,U0001758,4,G000116,2020-08-19 00:37:30,20200819,78.48,85.46,-6.98
SP000000005,S000000004,U0001758,4,G000003,2020-08-19 00:32:12,20200819,78.71,32.45,46.26
SP000000006,S000000004,U0001758,4,G000003,2020-08-19 00:37:35,20200819,60.69,17.06,43.63
SP000000007,S000000004,U0001758,4,G000077,2020-08-19 00:34:38,20200819,91.2,543.87,-452.67
SP000000008,S000000004,U0001758,4,G000003,2020-08-19 00:37:12,20200819,139.83,431.09,-291.26
SP000000009,S000000007,U0002412,3,G000070,2020-03-18 07:28:35,20200318,629.22,688.82,-59.6
SP000000010,S000000007,U0002412,3,G000088,2020-03-18 07:23:21,20200318,333.65,11.59,322.06
SP000000011,S000000007,U0002412,3,G000013,2020-03-18 07:07:13,20200318,667.32,511.59,155.73
SP000000012,S000000007,U0002412,3,G000110,2020-03-18 07:16:17,20200318,336.78,21.95,314.83
SP000000013,S000000007,U0002412,3,G000070,2020-03-18 07:02:41,20200318,333.47,21.19,312.28
SP000000014,S000000007,U0002412,3,G000070,2020-03-18 07:07:28,20200318,492.28,86.09,406.19
SP000000015,S000000007,U0002412,3,G000070,2020-03-18 07:08:03,20200318,587.46,175.62,411.84
SP000000016,S000000008,U0001679,1,G000111,2025-08-11 06:41:39,20250811,182.6,223.97,-41.37
SP000000017,S000000008,U0001679,1,G000111,2025-08-11 06:41:40,20250811,184.83,76.05,108.78
SP000000018,S000000008,U0001679,1,G000059,2025-08-11 06:42:07,20250811,205.02,358.69,-153.67
SP000000019,S000000008,U0001679,1,G000037,2025-08-11 06:46:28,20250811,142.69,42.85,99.84
SP000000020,S000000008,U0001679,1,G000095,2025-08-11 06:35:30,20250811,293.82,175.38,118.44
SP000000021,S000000008,U0001679,1,G000111,2025-08-11 06:38:33,20250811,156.01,14.15,141.86
SP000000022,S000000008,U0001679,1,G000111,2025-08-11 06:34:23,20250811,159.52,106.69,52.83
SP000000023,S000000009,U0000368,1,G000086,2023-09-07 11:27:22,20230907,1059.16,529.36,529.8
SP000000024,S000000009,U0000368,1,G000085,2023-09-07 11:33:18,20230907,277.62,220.52,57.1
SP000000025,S000000009,U0000368,1,G000086,2023-09-07 11:07:53,20230907,435.49,117.15,318.34
SP000000026,S000000009,U0000368,1,G000086,2023-09-07 11:14:06,20230907,426.31,68.06,358.25
SP000000027,S000000009,U0000368,1,G000086,2023-09-07 11:13:19,20230907,373.54,367.98,5.56
SP000000028,S000000009,U0000368,1,G000086,2023-09-07 11:19:31,20230907,354.61,200.84,153.77
SP000000029,S000000009,U0000368,1,G000086,2023-09-07 11:18:31,20230907,322.65,197.54,125.11
SP000000030,S000000010,U0002833,1,G000120,2020-10-13 15:16:00,20201013,78.5,29.7,48.8
SP000000031,S000000011,U0001139,1,G000095,2024-07-04 05:47:40,20240704,60.53,24.54,35.99
SP000000032,S000000014,U0002602,1,G000009,2022-12-24 19:00:07,20221224,72.58,122.48,-49.9
SP000000033,S000000014,U0002602,1,G000017,2022-12-24 18:57:33,20221224,108.1,19.99,88.11
SP000000034,S000000014,U0002602,1,G000009,2022-12-24 18:57:09,20221224,45.35,120.24,-74.89
SP000000035,S000000014,U0002602,1,G000009,2022-12-24 18:59:20,20221224,65.6,42.21,23.39
SP000000036,S000000014,U0002602,1,G000009,2022-12-24 18:59:37,20221224,47.41,14.12,33.29
SP000000037,S000000014,U0002602,1,G000009,2022-12-24 18:58:57,20221224,97.6,81.91,15.69
SP000000038,S000000014,U0002602,1,G000009,2022-12-24 19:01:14,20221224,100.43,128.13,-27.7
SP000000039,S000000014,U0002602,1,G000009,2022-12-24 18:57:37,20221224,120.42,110.51,9.91
SP000000040,S000000014,U0002602,1,G000009,2022-12-24 18:57:45,20221224,79.01,109.03,-30.02
SP000000041,S000000014,U0002602,1,G000028,2022-12-24 19:00:06,20221224,58.77,2.71,56.06
SP000000042,S000000015,U0000735,1,G000057,2025-11-01 11:50:29,20251101,1921.89,2190.66,-268.77
SP000000043,S000000016,U0003689,1,G000044,2019-05-29 06:04:03,20190529,107.85,186.39,-78.54
SP000000044,S000000017,U0000567,1,G000061,2022-07-29 23:54:55,20220729,97.5,33.39,64.11
SP000000045,S000000017,U0000567,1,G000061,2022-07-30 00:12:16,20220730,132.37,44.15,88.22
SP000000046,S000000017,U0000567,1,G000082,2022-07-30 00:26:10,20220730,85.31,51.33,33.98
SP000000047,S000000017,U0000567,1,G000061,2022-07-29 23:55:31,20220729,69.46,36.87,32.59
SP000000048,S000000017,U0000567,1,G000061,2022-07-29 23:56:36,20220729,71.81,132.07,-60.26
SP000000049,S000000017,U0000567,1,G000061,2022-07-30 00:01:03,20220730,83.14,64.85,18.29
SP000000050,S000000017,U0000567,1,G000061,2022-07-30 00:02:54,20220730,113.91,1.02,112.89
SP000000051,S000000018,U0003649,1,G000118,2024-12-06 03:33:26,20241206,291.46,467.46,-176.0
SP000000052,S000000018,U0003649,1,G000101,2024-12-06 03:24:44,20241206,324.03,395.49,-71.46
