player_id,open_date,country,open_year_month,open_month_index
P00001,2024-04-12,UK,202404,4
P00002,2024-12-14,Italy,202412,12
P00003,2024-09-27,UK,202409,9
P00004,2024-04-16,Canada,202404,4
P00005,2024-03-12,UK,202403,3
P00006,2024-07-07,Germany,202407,7
P00007,2024-01-21,UK,202401,1
P00008,2024-04-12,Canada,202404,4
P00009,2024-05-01,Spain,202405,5
P00010,2024-08-02,Spain,202408,8
P00011,2024-11-26,UK,202411,11
P00012,2024-03-28,Italy,202403,3
P00013,2024-04-09,France,202404,4
P00014,2024-12-25,Brazil,202412,12
P00015,2024-05-31,France,202405,5
P00016,2024-05-10,UK,202405,5
P00017,2024-05-29,UK,202405,5
P00018,2024-11-04,Germany,202411,11
P00019,2024-09-14,Spain,202409,9
P00020,2024-12-09,UK,202412,12
P00021,2024-10-20,Italy,202410,10
P00022,2024-07-10,Germany,202407,7
P00023,2024-10-03,Spain,202410,10
P00024,2024-06-09,Germany,202406,6
P00025,2024-11-09,Germany,202411,11
P00026,2024-01-22,Spain,202401,1
P00027,2024-09-09,UK,202409,9
P00028,2024-08-23,UK,202408,8
P00029,2024-12-10,Brazil,202412,12
P00030,2024-02-18,Canada,202402,2
P00031,2024-02-28,Germany,202402,2
P00032,2024-06-18,France,202406,6
P00033,2024-07-06,Spain,202407,7
P00034,2024-09-27,Germany,202409,9
P00035,2024-07-08,UK,202407,7
P00036,2024-06-23,UK,202406,6
P00037,2024-02-20,Italy,202402,2
P00038,2024-12-29,Italy,202412,12
P00039,2024-02-24,UK,202402,2
P00040,2024-08-31,France,202408,8
P00041,2024-11-15,France,202411,11
P00042,2024-05-10,Italy,202405,5
P00043,2024-11-02,UK,202411,11
P00044,2024-05-14,UK,202405,5
P00045,2024-01-21,Italy,202401,1
P00046,2024-11-24,UK,202411,11
P00047,2024-06-15,Italy,202406,6
P00048,2024-09-30,France,202409,9
P00049,2024-03-29,UK,202403,3
P00050,2024-11-11,France,202411,11
P00051,2024-01-14,Italy,202401,1
P00052,2024-08-29,Brazil,202408,8
P00053,2024-09-21,Brazil,202409,9
P00054,2024-12-11,Germany,202412,12
