player_id,activity_date,activity_date_key
P00001,2025-07-12,20250712
P00001,2025-01-26,20250126
P00002,2025-01-07,20250107
P00002,2025-05-21,20250521
P00002,2025-04-09,20250409
P00003,2025-07-15,20250715
P00004,2024-06-16,20240616
P00005,2024-04-19,20240419
P00005,2024-08-17,20240817
P00005,2024-05-08,20240508
P00006,2024-10-03,20241003
P00006,2025-09-01,20250901
P00006,2025-05-03,20250503
P00006,2024-09-05,20240905
P00007,2024-06-07,20240607
P00007,2024-02-27,20240227
P00007,2025-05-19,20250519
P00007,2025-04-22,20250422
P00007,2025-10-28,20251028
P00007,2025-08-02,20250802
P00008,2024-05-03,20240503
P00008,2025-08-07,20250807
P00008,2024-08-06,20240806
P00008,2024-07-08,20240708
P00008,2024-11-27,20241127
P00008,2025-11-09,20251109
P00008,2024-06-30,20240630
P00008,2025-04-05,20250405
P00008,2025-06-01,20250601
P00009,2025-05-02,20250502
P00010,2025-07-31,20250731
P00010,2025-09-06,20250906
P00011,2025-08-19,20250819
P00011,2025-12-26,20251226
P00011,2025-06-03,20250603
P00012,2025-04-16,20250416
P00012,2024-07-26,20240726
P00012,2024-06-16,20240616
P00012,2024-05-25,20240525
P00012,2024-12-20,20241220
P00012,2024-08-28,20240828
P00012,2025-05-17,20250517
P00013,2025-10-20,20251020
P00013,2025-02-03,20250203
P00013,2024-05-16,20240516
P00014,2025-06-01,20250601
P00015,2025-07-27,20250727
P00015,2024-08-27,20240827
P00015,2024-06-02,20240602
P00016,2025-01-31,20250131
P00016,2024-12-03,20241203
P00017,2025-01-08,20250108
P00017,2025-12-01,20251201
P00017,2024-08-09,20240809
P00017,2024-09-11,20240911
P00017,2025-03-22,20250322
P00017,2025-05-16,20250516
P00017,2025-06-07,20250607
P00018,2025-04-14,20250414
P00018,2025-11-12,20251112
P00019,2025-01-15,20250115
P00019,2025-07-22,20250722
P00019,2025-09-11,20250911
P00019,2024-12-28,20241228
P00019,2024-09-05,20240905
P00019,2025-06-01,20250601
P00019,2025-04-08,20250408
P00019,2025-10-21,20251021
P00019,2025-12-28,20251228
P00019,2025-05-12,20250512
P00020,2024-12-19,20241219
P00020,2025-09-17,20250917
P00020,2025-11-24,20251124
P00020,2025-08-31,20250831
P00020,2025-01-19,20250119
P00020,2025-04-28,20250428
P00020,2025-10-26,20251026
P00020,2025-07-23,20250723
P00020,2025-06-26,20250626
P00020,2025-02-05,20250205
P00021,2025-05-01,20250501
P00022,2025-09-16,20250916
P00022,2025-08-21,20250821
P00022,2024-08-07,20240807
P00022,2025-05-04,20250504
P00022,2024-10-01,20241001
P00022,2025-01-30,20250130
P00022,2025-02-05,20250205
P00022,2025-10-23,20251023
P00022,2024-07-26,20240726
P00022,2025-07-10,20250710
P00023,2025-06-17,20250617
P00023,2025-12-28,20251228
P00023,2025-08-27,20250827
P00023,2025-03-20,20250320
P00023,2025-11-24,20251124
P00023,2025-04-12,20250412
P00023,2025-02-18,20250218
P00024,2024-12-10,20241210
P00024,2025-10-26,20251026
P00024,2024-11-30,20241130
P00024,2024-09-02,20240902
P00025,2025-01-09,20250109
P00025,2025-04-24,20250424
P00026,2025-02-19,20250219
P00026,2024-11-17,20241117
P00026,2025-09-04,20250904
P00026,2024-02-12,20240212
P00027,2024-10-04,20241004
P00027,2025-04-21,20250421
P00027,2025-10-23,20251023
P00027,2025-02-16,20250216
P00027,2024-09-25,20240925
P00027,2025-09-07,20250907
P00028,2025-03-06,20250306
P00029,2025-11-19,20251119
P00030,2025-05-30,20250530
P00030,2024-09-26,20240926
P00030,2024-03-20,20240320
P00030,2025-12-28,20251228
P00030,2024-06-08,20240608
P00030,2024-10-29,20241029
P00030,2024-12-31,20241231
P00030,2024-11-09,20241109
P00031,2025-07-17,20250717
P00031,2024-11-14,20241114
P00031,2024-08-15,20240815
P00031,2024-03-31,20240331
P00031,2025-10-01,20251001
P00031,2024-10-21,20241021
P00032,2025-11-04,20251104
P00032,2024-08-27,20240827
P00032,2024-06-22,20240622
P00032,2025-07-31,20250731
P00032,2024-12-17,20241217
P00032,2025-02-09,20250209
P00033,2025-02-27,20250227
P00033,2025-04-13,20250413
P00033,2025-03-05,20250305
P00034,2025-04-09,20250409
P00035,2024-10-21,20241021
P00035,2025-09-14,20250914
P00036,2025-10-01,20251001
P00036,2025-09-22,20250922
P00037,2024-02-20,20240220
P00037,2025-07-25,20250725
P00037,2024-05-06,20240506
P00037,2025-08-01,20250801
P00037,2025-09-24,20250924
P00037,2024-11-15,20241115
P00037,2024-09-28,20240928
P00037,2024-10-30,20241030
P00037,2025-11-23,20251123
P00038,2025-02-06,20250206
P00038,2025-10-21,20251021
P00039,2024-06-26,20240626
P00039,2024-11-19,20241119
P00039,2024-03-19,20240319
P00040,2024-11-25,20241125
P00040,2025-02-15,20250215
P00040,2025-03-25,20250325
P00040,2024-10-22,20241022
P00040,2025-06-15,20250615
P00041,2024-12-24,20241224
P00041,2025-07-22,20250722
P00042,2025-08-25,20250825
P00042,2025-01-17,20250117
P00042,2025-02-07,20250207
P00043,2025-04-04,20250404
P00044,2025-05-22,20250522
P00044,2024-11-21,20241121
P00044,2025-06-06,20250606
P00045,2025-06-15,20250615
P00045,2024-10-11,20241011
P00045,2024-07-08,20240708
P00046,2024-12-26,20241226
P00046,2025-11-14,20251114
P00047,2025-10-01,20251001
P00047,2025-08-31,20250831
P00048,2025-11-11,20251111
P00048,2025-10-09,20251009
P00048,2025-06-02,20250602
P00048,2025-12-12,20251212
P00049,2024-09-14,20240914
P00049,2025-09-19,20250919
P00050,2025-08-06,20250806
P00050,2025-06-03,20250603
P00050,2025-02-07,20250207
P00050,2025-10-19,20251019
P00051,2025-04-22,20250422
P00051,2024-10-06,20241006
P00051,2024-08-13,20240813
P00052,2025-06-27,20250627
P00053,2025-01-12,20250112
P00053,2025-11-04,20251104
P00054,2025-10-14,20251014
P00054,2025-11-08,20251108
P00054,2025-02-09,20250209
P00054,2025-05-22,20250522
P00054,2025-08-11,20250811
P00054,2025-01-23,20250123
P00054,2025-06-01,20250601
P00054,2025-03-14,20250314
P00055,2025-02-02,20250202
P00055,2024-07-07,20240707
P00055,2025-09-18,20250918
P00056,2025-01-29,20250129
P00056,2025-09-11,20250911
P00057,2025-02-17,20250217
P00057,2024-05-13,20240513
P00057,2025-06-29,20250629
P00057,2025-12-30,20251230
P00057,2024-06-16,20240616
P00057,2025-04-08,20250408
P00057,2024-08-19,20240819
P00058,2025-06-07,20250607
P00059,2025-09-19,20250919
P00059,2024-05-01,20240501
P00059,2024-07-28,20240728
P00059,2025-12-15,20251215
P00059,2025-10-08,20251008
P00060,2025-02-04,20250204
P00061,2025-08-26,20250826
P00061,2024-11-22,20241122
P00061,2025-04-12,20250412
P00061,2025-02-24,20250224
P00061,2025-06-17,20250617
P00062,2025-01-02,20250102
P00062,2025-05-23,20250523
P00062,2024-02-05,20240205
P00062,2024-06-11,20240611
P00062,2025-04-06,20250406
P00062,2024-05-18,20240518
P00063,2025-07-10,20250710
P00063,2025-06-22,20250622
P00063,2025-02-21,20250221
P00064,2025-05-11,20250511
P00064,2025-07-08,20250708
P00065,2024-10-09,20241009
P00065,2025-08-26,20250826
P00065,2025-12-02,20251202
P00066,2025-05-12,20250512
P00067,2024-12-16,20241216
P00067,2024-10-06,20241006
P00067,2025-02-08,20250208
P00067,2025-12-25,20251225
P00068,2025-01-14,20250114
P00068,2025-06-15,20250615
P00068,2025-02-21,20250221
P00068,2025-04-07,20250407
P00068,2025-03-09,20250309
P00068,2024-12-19,20241219
P00068,2025-10-16,20251016
P00069,2024-12-08,20241208
P00070,2024-10-03,20241003
P00070,2025-09-10,20250910
P00071,2025-08-17,20250817
P00071,2024-11-03,20241103
P00071,2025-01-13,20250113
P00071,2025-09-14,20250914
P00071,2025-05-24,20250524
P00071,2025-04-30,20250430
P00072,2025-06-14,20250614
P00072,2024-12-24,20241224
P00072,2024-11-11,20241111
P00072,2024-07-30,20240730
P00072,2025-03-13,20250313
P00073,2025-10-05,20251005
P00073,2025-08-22,20250822
P00073,2025-09-15,20250915
P00073,2025-06-23,20250623
P00073,2025-11-17,20251117
P00073,2025-01-09,20250109
P00073,2024-07-03,20240703
P00073,2025-05-20,20250520
P00073,2025-03-26,20250326
P00073,2024-08-17,20240817
P00074,2025-05-02,20250502
P00075,2025-05-11,20250511
P00075,2025-06-27,20250627
P00075,2025-04-02,20250402
P00076,2025-10-18,20251018
P00076,2024-12-08,20241208
P00077,2025-02-08,20250208
P00077,2024-12-28,20241228
P00077,2025-05-01,20250501
P00077,2025-10-27,20251027
P00077,2024-09-27,20240927
P00077,2025-03-16,20250316
P00077,2025-01-09,20250109
P00077,2025-12-13,20251213
P00077,2025-07-11,20250711
P00078,2025-12-30,20251230
P00078,2024-08-07,20240807
P00079,2025-02-16,20250216
P00080,2025-07-22,20250722
P00081,2025-06-20,20250620
P00081,2025-12-29,20251229
P00081,2024-12-12,20241212
P00081,2025-09-07,20250907
P00081,2025-01-29,20250129
P00081,2025-02-11,20250211
P00081,2025-04-01,20250401
P00081,2025-11-06,20251106
P00081,2025-10-15,20251015
P00082,2025-10-14,20251014
P00082,2025-06-20,20250620
P00083,2025-04-28,20250428
P00083,2024-08-06,20240806
P00083,2025-01-15,20250115
P00083,2025-03-02,20250302
P00083,2025-10-29,20251029
P00083,2025-05-03,20250503
P00084,2025-08-29,20250829
P00085,2025-10-16,20251016
P00086,2024-08-09,20240809
P00086,2025-04-17,20250417
P00087,2025-10-09,20251009
P00088,2025-06-03,20250603
P00088,2024-12-27,20241227
P00089,2025-09-20,20250920
P00090,2024-07-13,20240713
P00090,2024-10-08,20241008
P00090,2025-07-29,20250729
P00090,2025-02-23,20250223
P00090,2025-09-21,20250921
P00090,2025-10-23,20251023
P00090,2025-12-19,20251219
P00090,2024-11-12,20241112
P00090,2025-11-18,20251118
P00091,2024-12-28,20241228
P00092,2025-08-12,20250812
P00093,2024-11-24,20241124
P00093,2025-01-07,20250107
P00093,2025-08-25,20250825
P00094,2025-07-15,20250715
P00094,2025-10-31,20251031
P00094,2025-12-11,20251211
P00094,2025-04-10,20250410
P00094,2025-01-03,20250103
P00094,2025-11-22,20251122
P00094,2025-05-14,20250514
P00094,2025-02-16,20250216
P00094,2024-12-10,20241210
P00094,2024-11-29,20241129
P00095,2024-04-06,20240406
P00095,2024-09-12,20240912
P00095,2024-05-27,20240527
P00096,2025-10-27,20251027
P00097,2025-04-25,20250425
P00097,2025-09-07,20250907
P00098,2025-05-26,20250526
P00098,2024-04-11,20240411
P00099,2025-06-19,20250619
P00099,2025-05-31,20250531
P00099,2025-04-16,20250416
P00099,2025-12-14,20251214
P00099,2025-08-21,20250821
P00100,2025-08-02,20250802
P00100,2024-11-18,20241118
P00100,2024-07-13,20240713
P00100,2024-12-09,20241209
P00101,2024-10-03,20241003
P00101,2025-05-08,20250508
P00102,2024-03-23,20240323
P00102,2025-01-06,20250106
P00102,2024-09-14,20240914
P00102,2025-09-18,20250918
P00102,2025-05-12,20250512
P00103,2025-11-14,20251114
P00103,2024-12-27,20241227
P00103,2024-05-29,20240529
P00103,2024-11-15,20241115
P00103,2025-04-28,20250428
P00103,2025-06-03,20250603
P00103,2025-02-08,20250208
P00103,2024-06-16,20240616
P00104,2024-05-22,20240522
P00105,2024-09-24,20240924
P00105,2024-08-16,20240816
P00105,2025-05-17,20250517
P00105,2025-10-26,20251026
P00105,2024-06-27,20240627
P00105,2025-01-05,20250105
P00105,2024-07-04,20240704
P00105,2025-09-18,20250918
P00106,2025-03-12,20250312
P00106,2025-12-02,20251202
P00106,2025-11-01,20251101
P00106,2025-10-23,20251023
P00106,2025-02-21,20250221
P00106,2025-05-17,20250517
P00106,2024-10-22,20241022
P00107,2024-12-03,20241203
P00108,2025-07-04,20250704
P00108,2025-09-03,20250903
P00109,2025-10-22,20251022
P00109,2025-03-06,20250306
P00110,2025-10-30,20251030
P00111,2025-05-02,20250502
P00111,2024-07-29,20240729
P00111,2025-08-14,20250814
P00112,2025-01-06,20250106
P00113,2025-07-10,20250710
P00113,2025-09-30,20250930
P00113,2025-05-14,20250514
P00113,2025-01-06,20250106
P00113,2025-11-03,20251103
P00113,2025-06-16,20250616
P00114,2025-12-02,20251202
P00114,2024-09-25,20240925
P00114,2025-10-29,20251029
P00115,2024-11-14,20241114
P00115,2025-06-20,20250620
P00115,2025-08-18,20250818
P00115,2025-04-29,20250429
P00115,2024-08-28,20240828
P00115,2025-11-06,20251106
P00115,2024-05-29,20240529
P00116,2024-05-19,20240519
P00117,2025-12-29,20251229
P00118,2024-08-07,20240807
P00118,2024-11-05,20241105
P00119,2025-12-21,20251221
P00119,2025-04-20,20250420
P00120,2025-05-16,20250516
P00120,2025-10-29,20251029
P00121,2025-10-08,20251008
P00121,2025-07-13,20250713
P00121,2025-03-08,20250308
P00122,2025-08-14,20250814
P00123,2024-08-16,20240816
P00123,2024-11-28,20241128
P00123,2025-08-17,20250817
P00123,2025-03-31,20250331
P00123,2024-09-08,20240908
P00123,2025-12-08,20251208
P00123,2025-01-25,20250125
P00124,2024-09-28,20240928
P00124,2024-07-02,20240702
P00124,2025-02-11,20250211
P00124,2024-02-10,20240210
P00124,2024-12-15,20241215
P00124,2025-01-17,20250117
P00124,2025-11-08,20251108
P00124,2025-04-18,20250418
P00124,2025-08-23,20250823
P00124,2024-06-09,20240609
P00125,2025-08-26,20250826
P00125,2025-02-23,20250223
P00126,2025-11-02,20251102
P00126,2024-05-29,20240529
P00126,2024-08-21,20240821
P00126,2025-03-15,20250315
P00126,2024-07-20,20240720
P00126,2025-12-27,20251227
P00126,2024-04-18,20240418
P00127,2025-12-16,20251216
P00127,2025-06-08,20250608
P00128,2025-10-16,20251016
P00128,2025-11-13,20251113
P00129,2025-01-20,20250120
P00129,2025-11-10,20251110
P00129,2024-01-24,20240124
P00130,2024-09-07,20240907
P00130,2024-10-04,20241004
P00130,2025-08-29,20250829
P00131,2025-10-31,20251031
P00131,2024-09-14,20240914
P00131,2025-11-19,20251119
P00131,2025-01-22,20250122
P00131,2025-08-24,20250824
P00131,2024-11-13,20241113
P00131,2025-05-12,20250512
P00131,2025-02-26,20250226
P00132,2025-04-27,20250427
P00132,2025-05-15,20250515
P00132,2025-11-11,20251111
P00132,2025-07-25,20250725
P00132,2025-10-28,20251028
P00132,2025-01-22,20250122
P00132,2025-08-13,20250813
P00132,2025-09-01,20250901
P00132,2024-12-17,20241217
P00132,2025-06-06,20250606
P00133,2025-10-11,20251011
P00133,2025-05-17,20250517
P00133,2024-12-30,20241230
P00133,2025-11-30,20251130
P00133,2024-11-22,20241122
P00133,2025-07-13,20250713
P00133,2025-01-06,20250106
P00133,2024-10-17,20241017
P00133,2025-02-27,20250227
P00133,2025-06-13,20250613
P00134,2025-10-07,20251007
P00134,2025-09-18,20250918
P00134,2025-01-03,20250103
P00134,2024-12-01,20241201
P00134,2025-02-24,20250224
P00134,2025-05-25,20250525
P00135,2025-07-04,20250704
P00136,2025-07-15,20250715
P00137,2024-07-19,20240719
P00138,2024-08-09,20240809
P00138,2025-07-07,20250707
P00138,2025-05-22,20250522
P00138,2025-10-17,20251017
P00138,2024-07-17,20240717
P00138,2025-04-02,20250402
P00138,2024-10-06,20241006
P00139,2025-10-17,20251017
P00139,2025-12-07,20251207
P00139,2025-02-21,20250221
P00140,2025-02-09,20250209
P00141,2025-02-19,20250219
P00141,2024-12-05,20241205
P00141,2025-11-19,20251119
P00141,2025-06-11,20250611
P00141,2025-05-24,20250524
P00141,2025-09-12,20250912
P00141,2025-01-10,20250110
P00142,2024-08-03,20240803
P00143,2024-08-01,20240801
P00143,2024-11-13,20241113
P00144,2025-09-06,20250906
P00144,2024-11-19,20241119
P00144,2025-01-28,20250128
P00144,2025-05-12,20250512
P00144,2024-10-25,20241025
P00144,2025-02-11,20250211
P00144,2025-03-02,20250302
P00144,2025-06-15,20250615
P00145,2025-08-18,20250818
P00145,2025-11-26,20251126
P00145,2025-02-11,20250211
P00145,2025-04-25,20250425
P00146,2025-02-23,20250223
P00146,2025-03-23,20250323
P00146,2025-11-03,20251103
P00147,2024-09-28,20240928
P00147,2025-03-13,20250313
P00147,2025-05-15,20250515
P00147,2025-08-18,20250818
P00148,2025-02-03,20250203
P00148,2025-07-10,20250710
P00148,2024-11-19,20241119
P00148,2025-04-09,20250409
P00148,2025-09-28,20250928
P00148,2025-12-20,20251220
P00148,2025-10-13,20251013
P00148,2025-01-07,20250107
P00148,2024-05-14,20240514
P00149,2025-11-03,20251103
P00149,2025-10-09,20251009
P00149,2024-08-27,20240827
P00149,2024-07-14,20240714
P00149,2024-12-30,20241230
P00149,2025-05-09,20250509
P00150,2025-03-29,20250329
P00151,2024-12-19,20241219
P00151,2025-05-04,20250504
P00152,2025-12-27,20251227
P00152,2025-08-08,20250808
P00152,2025-07-19,20250719
P00152,2024-05-28,20240528
P00152,2025-04-10,20250410
P00152,2025-05-01,20250501
P00152,2025-09-25,20250925
P00153,2024-12-21,20241221
P00153,2024-10-21,20241021
P00154,2024-12-27,20241227
P00154,2025-01-07,20250107
P00154,2025-12-23,20251223
P00154,2025-02-09,20250209
P00154,2025-10-07,20251007
P00154,2025-05-13,20250513
P00154,2024-11-11,20241111
P00154,2025-03-14,20250314
P00154,2025-06-19,20250619
P00155,2025-11-28,20251128
P00155,2025-01-26,20250126
P00156,2025-10-19,20251019
P00156,2024-12-15,20241215
P00156,2025-03-28,20250328
P00156,2024-10-08,20241008
P00157,2024-07-06,20240706
P00157,2025-04-27,20250427
P00157,2024-06-21,20240621
P00157,2024-10-02,20241002
P00158,2025-07-31,20250731
P00158,2025-01-31,20250131
P00159,2025-06-11,20250611
P00159,2025-10-16,20251016
P00159,2025-02-26,20250226
P00160,2024-11-18,20241118
P00160,2025-03-28,20250328
P00160,2025-09-03,20250903
P00161,2024-08-04,20240804
P00161,2024-10-26,20241026
P00162,2024-11-29,20241129
P00163,2025-03-13,20250313
P00163,2024-12-19,20241219
P00164,2024-11-02,20241102
P00165,2025-04-22,20250422
P00165,2025-02-11,20250211
P00166,2025-10-23,20251023
P00166,2024-08-15,20240815
P00167,2024-03-06,20240306
P00167,2024-12-03,20241203
P00167,2025-01-27,20250127
P00167,2024-11-05,20241105
P00168,2025-11-16,20251116
P00168,2024-12-12,20241212
P00168,2025-03-02,20250302
P00169,2025-10-01,20251001
P00169,2025-02-15,20250215
P00170,2025-04-04,20250404
