withdrawal_id,customer_id,date_id,payment_method_id,gross_withdrawal_amount,fees,net_withdrawal,status,currency
1,1,20251031,1,31.25,0.63,30.62,Approved,ARS
2,1,20251030,2,46.57,0.85,45.72,Approved,ARS
3,2,20250617,4,47.18,0.65,46.53,Approved,CAD
4,2,20250523,6,50.68,0.39,50.29,Approved,CAD
5,3,20251020,3,663.8,2.29,661.51,Pending,NOK
6,3,20250406,3,37.85,0.43,37.42,Approved,NOK
7,3,20240829,3,486.36,3.41,482.95,Approved,NOK
8,3,20250624,3,159.47,0.91,158.56,Approved,NOK
9,5,20251022,4,103.61,0.96,102.65,Approved,EUR
10,5,20250829,2,194.26,1.98,192.28,Approved,EUR
11,6,20250906,2,1375.6,5.73,1369.87,Approved,EUR
12,7,20250920,2,25.98,0.7,25.28,Approved,EUR
13,7,20250819,6,67.12,0.68,66.44,Approved,EUR
14,8,20251014,6,169.9,1.59,168.31,Approved,EUR
15,9,20250101,6,59.73,0.69,59.04,Approved,NOK
16,9,20240606,4,107.02,0.91,106.11,Pending,NOK
17,10,20250528,4,39.32,0.46,38.86,Approved,EUR
18,10,20250501,1,39.43,0.34,39.09,Pending,EUR
19,10,20240322,6,12.19,0.55,11.64,Declined,EUR
20,10,20250620,6,82.15,0.7,81.45,Approved,EUR
21,11,20250908,6,75.48,0.72,74.76,Approved,GBP
22,11,20250508,6,34.3,0.78,33.52,Approved,GBP
23,12,20250425,5,303.51,1.93,301.58,Approved,CAD
24,12,20251004,5,227.94,0.9,227.04,Approved,CAD
25,17,20250723,3,50.0,0.71,49.29,Approved,EUR
26,19,20251017,4,749.73,3.29,746.44,Approved,COP
27,19,20251030,3,2468.78,9.39,2459.39,Approved,COP
28,24,20250506,4,46.67,0.37,46.3,Approved,GBP
29,27,20250622,6,7.49,0.31,7.18,Approved,COP
30,27,20250902,1,59.72,0.48,59.24,Approved,COP
31,27,20251027,6,169.07,0.9,168.17,Approved,COP
32,27,20250809,1,8.41,0.58,7.83,Approved,COP
33,29,20241112,1,3472.86,15.26,3457.6,Approved,BRL
34,29,20250401,6,1073.34,4.77,1068.57,Pending,BRL
35,30,20251025,1,7.89,0.45,7.44,Approved,GBP
36,30,20250912,2,5.0,0.56,4.44,Approved,GBP
37,30,20251016,6,5.0,0.58,4.42,Approved,GBP
38,30,20250928,3,19.76,0.67,19.09,Approved,GBP
39,30,20251009,1,18.73,0.52,18.21,Approved,GBP
40,30,20250918,6,20.06,0.56,19.5,Approved,GBP
41,30,20250730,6,13.35,0.44,12.91,Approved,GBP
42,30,20250906,4,13.43,0.63,12.8,Approved,GBP
43,31,20251018,2,272.74,2.16,270.58,Approved,ARS
44,31,20251028,5,172.09,1.06,171.03,Approved,ARS
45,32,20250716,2,43.75,0.42,43.33,Pending,NOK
46,32,20250616,4,47.84,0.43,47.41,Approved,NOK
47,33,20250211,1,1552.63,10.53,1542.1,Pending,AUD
48,33,20250423,6,2887.14,20.2,2866.94,Approved,AUD
49,34,20251030,3,154.26,1.46,152.8,Approved,COP
50,34,20251025,6,310.17,1.0,309.17,Pending,COP
51,35,20250420,5,60.32,0.6,59.72,Approved,EUR
52,35,20250624,3,32.41,0.81,31.6,Approved,EUR
53,41,20241101,6,454.18,1.65,452.53,Approved,ARS
54,42,20250305,1,39.07,0.58,38.49,Approved,NZD
55,42,20250416,6,102.99,0.84,102.15,Approved,NZD
56,45,20241219,2,535.8,3.38,532.42,Approved,EUR
57,45,20250916,5,5.0,0.42,4.58,Approved,EUR
58,48,20250814,3,126.55,1.01,125.54,Approved,CAD
59,48,20250821,6,381.67,2.09,379.58,Approved,CAD
60,50,20250816,6,518.64,3.67,514.97,Approved,NZD
61,54,20251008,2,202.57,1.42,201.15,Approved,EUR
62,56,20240708,3,232.51,1.16,231.35,Approved,EUR
63,57,20251023,5,65.37,0.82,64.55,Approved,EUR
64,62,20250818,6,66.99,0.65,66.34,Approved,GBP
65,64,20250308,1,63.37,0.81,62.56,Approved,NOK
66,64,20251006,4,64.27,0.77,63.5,Approved,NOK
67,65,20250621,6,36.23,0.58,35.65,Approved,NOK
68,66,20250321,6,24.78,0.41,24.37,Approved,NZD
69,66,20250728,2,200.49,1.33,199.16,Approved,NZD
70,67,20250425,3,6556.26,29.21,6527.05,Approved,NOK
71,68,20251018,3,24.31,0.46,23.85,Approved,MXN
72,68,20251026,4,53.63,0.55,53.08,Approved,MXN
73,70,20251009,6,202.54,1.68,200.86,Approved,BRL
