campaign_id,player_id,offer_id,email_sent_date,country,segment,platform_preference,lapsed_days,last_purchase_date
CMP_2026_REACT_LAPSED_01,P00001,OFF_FS10,2026-01-05,FR,Casual,Android,677,2024-01-15
CMP_2026_REACT_LAPSED_01,P00002,OFF_MATCH20_100,2026-01-02,FR,Casual,Web,430,2024-05-27
CMP_2026_REACT_LAPSED_01,P00003,OFF_MATCH20_100,2026-01-03,FR,Casual,iOS,375,2024-02-25
CMP_2026_REACT_LAPSED_01,P00004,OFF_FS10,2026-01-04,FR,Casual,Android,375,2024-10-30
CMP_2026_REACT_LAPSED_01,P00005,OFF_FS10,2026-01-05,CA,Casual,Web,872,2024-12-21
CMP_2026_REACT_LAPSED_01,P00006,OFF_FS10,2026-01-05,BE,Core,Web,473,2024-09-24
CMP_2026_REACT_LAPSED_01,P00007,OFF_MATCH20_100,2026-01-05,FR,Casual,iOS,470,2024-08-23
CMP_2026_REACT_LAPSED_01,P00008,OFF_MATCH20_100,2026-01-05,CH,Casual,Web,728,2024-01-15
CMP_2026_REACT_LAPSED_01,P00009,OFF_MATCH20_100,2026-01-02,FR,Casual,Web,438,2023-08-10
CMP_2026_REACT_LAPSED_01,P00010,OFF_FS10,2026-01-03,FR,Core,iOS,673,2024-02-22
CMP_2026_REACT_LAPSED_01,P00011,OFF_FS10,2026-01-04,FR,Core,Web,869,2024-10-12
CMP_2026_REACT_LAPSED_01,P00012,OFF_MATCH20_100,2026-01-05,FR,Casual,Web,827,2024-04-09
CMP_2026_REACT_LAPSED_01,P00013,OFF_MATCH20_100,2026-01-02,MA,Casual,Web,655,2023-08-26
CMP_2026_REACT_LAPSED_01,P00014,OFF_FS10,2026-01-03,CA,Core,iOS,396,2024-01-04
CMP_2026_REACT_LAPSED_01,P00015,OFF_MATCH20_100,2026-01-04,CA,Core,Android,823,2024-12-11
CMP_2026_REACT_LAPSED_01,P00016,OFF_MATCH20_100,2026-01-04,FR,Casual,iOS,603,2024-07-27
CMP_2026_REACT_LAPSED_01,P00017,OFF_MATCH20_100,2026-01-04,FR,Core,Web,701,2024-10-30
CMP_2026_REACT_LAPSED_01,P00018,OFF_MATCH20_100,2026-01-02,FR,Casual,Android,820,2024-10-08
CMP_2026_REACT_LAPSED_01,P00019,OFF_FS10,2026-01-05,FR,Casual,Web,490,2024-08-17
CMP_2026_REACT_LAPSED_01,P00020,OFF_FS10,2026-01-04,FR,Casual,Android,707,2023-10-23
CMP_2026_REACT_LAPSED_01,P00021,OFF_FS10,2026-01-02,FR,Core,Web,420,2024-08-02
CMP_2026_REACT_LAPSED_01,P00022,OFF_FS10,2026-01-02,FR,Core,Android,835,2024-06-07
CMP_2026_REACT_LAPSED_01,P00023,OFF_MATCH20_100,2026-01-05,CA,Casual,Android,671,2024-06-12
CMP_2026_REACT_LAPSED_01,P00024,OFF_FS10,2026-01-05,BE,Core,iOS,649,2024-08-14
