campaign_id,deposit_id,player_id,deposit_datetime,deposit_amount_eur,currency,offer_id_attributed,days_since_email
CMP_2026_REACT_LAPSED_01,D0000001,P00001,2026-01-18 23:30:00,31.56,EUR,OFF_FS10,13
CMP_2026_REACT_LAPSED_01,D0000002,P00002,2026-01-11 07:42:00,45.63,EUR,OFF_MATCH20_100,9
CMP_2026_REACT_LAPSED_01,D0000003,P00002,2026-01-15 01:08:00,45.47,EUR,OFF_MATCH20_100,13
CMP_2026_REACT_LAPSED_01,D0000004,P00006,2026-01-10 10:19:00,58.21,EUR,OFF_FS10,5
CMP_2026_REACT_LAPSED_01,D0000005,P00008,2026-01-08 03:34:00,52.86,EUR,OFF_MATCH20_100,3
CMP_2026_REACT_LAPSED_01,D0000006,P00009,2026-01-13 03:02:00,39.07,EUR,OFF_MATCH20_100,11
CMP_2026_REACT_LAPSED_01,D0000007,P00010,2026-01-07 12:24:00,54.77,EUR,OFF_FS10,4
CMP_2026_REACT_LAPSED_01,D0000008,P00010,2026-01-12 13:41:00,35.0,EUR,OFF_FS10,9
CMP_2026_REACT_LAPSED_01,D0000009,P00015,2026-01-12 02:44:00,48.12,EUR,OFF_MATCH20_100,8
CMP_2026_REACT_LAPSED_01,D0000010,P00018,2026-01-14 22:57:00,125.55,EUR,OFF_MATCH20_100,12
CMP_2026_REACT_LAPSED_01,D0000011,P00023,2026-01-18 03:49:00,42.71,EUR,OFF_MATCH20_100,13
CMP_2026_REACT_LAPSED_01,D0000012,P00025,2026-01-13 06:05:00,34.1,EUR,OFF_MATCH20_100,11
CMP_2026_REACT_LAPSED_01,D0000013,P00031,2026-01-08 00:52:00,64.44,EUR,OFF_MATCH20_100,3
CMP_2026_REACT_LAPSED_01,D0000014,P00035,2026-01-15 16:21:00,29.5,EUR,OFF_FS10,12
CMP_2026_REACT_LAPSED_01,D0000015,P00035,2026-01-10 06:28:00,85.81,EUR,OFF_FS10,7
CMP_2026_REACT_LAPSED_01,D0000016,P00040,2026-01-15 15:55:00,38.71,EUR,OFF_MATCH20_100,13
CMP_2026_REACT_LAPSED_01,D0000017,P00041,2026-01-15 12:14:00,49.6,EUR,OFF_FS10,10
CMP_2026_REACT_LAPSED_01,D0000018,P00044,2026-01-16 20:47:00,44.16,EUR,OFF_FS10,12
CMP_2026_REACT_LAPSED_01,D0000019,P00046,2026-01-08 04:40:00,85.81,EUR,OFF_MATCH20_100,5
CMP_2026_REACT_LAPSED_01,D0000020,P00050,2026-01-04 14:41:00,48.02,EUR,OFF_MATCH20_100,0
CMP_2026_REACT_LAPSED_01,D0000021,P00051,2026-01-03 15:51:00,34.73,EUR,OFF_MATCH20_100,0
CMP_2026_REACT_LAPSED_01,D0000022,P00056,2026-01-15 02:02:00,24.75,EUR,OFF_FS10,10
CMP_2026_REACT_LAPSED_01,D0000023,P00056,2026-01-15 05:17:00,39.13,EUR,OFF_FS10,10
CMP_2026_REACT_LAPSED_01,D0000024,P00056,2026-01-09 00:43:00,18.45,EUR,OFF_FS10,4
CMP_2026_REACT_LAPSED_01,D0000025,P00057,2026-01-09 07:31:00,92.41,EUR,OFF_MATCH20_100,7
CMP_2026_REACT_LAPSED_01,D0000026,P00061,2026-01-12 18:46:00,68.93,EUR,OFF_MATCH20_100,8
CMP_2026_REACT_LAPSED_01,D0000027,P00070,2026-01-07 01:53:00,52.17,EUR,OFF_FS10,4
CMP_2026_REACT_LAPSED_01,D0000028,P00070,2026-01-11 09:51:00,19.04,EUR,OFF_FS10,8
CMP_2026_REACT_LAPSED_01,D0000029,P00070,2026-01-16 20:34:00,29.94,EUR,OFF_FS10,13
CMP_2026_REACT_LAPSED_01,D0000030,P00076,2026-01-14 15:07:00,30.57,EUR,OFF_FS10,12
CMP_2026_REACT_LAPSED_01,D0000031,P00081,2026-01-15 12:13:00,45.56,EUR,OFF_MATCH20_100,10
CMP_2026_REACT_LAPSED_01,D0000032,P00101,2026-01-06 00:46:00,42.94,EUR,OFF_MATCH20_100,2
CMP_2026_REACT_LAPSED_01,D0000033,P00104,2026-01-04 23:56:00,33.4,EUR,OFF_FS10,0
CMP_2026_REACT_LAPSED_01,D0000034,P00111,2026-01-12 06:07:00,28.46,EUR,OFF_MATCH20_100,10
CMP_2026_REACT_LAPSED_01,D0000035,P00120,2026-01-18 05:53:00,81.33,EUR,OFF_MATCH20_100,14
CMP_2026_REACT_LAPSED_01,D0000036,P00126,2026-01-08 11:13:00,33.82,EUR,OFF_FS10,3
CMP_2026_REACT_LAPSED_01,D0000037,P00129,2026-01-15 02:31:00,38.06,EUR,OFF_FS10,13
CMP_2026_REACT_LAPSED_01,D0000038,P00140,2026-01-07 09:51:00,31.76,EUR,OFF_FS10,2
CMP_2026_REACT_LAPSED_01,D0000039,P00140,2026-01-17 02:36:00,32.43,EUR,OFF_FS10,12
CMP_2026_REACT_LAPSED_01,D0000040,P00153,2026-01-16 06:50:00,34.15,EUR,OFF_FS10,14
CMP_2026_REACT_LAPSED_01,D0000041,P00154,2026-01-08 02:44:00,90.5,EUR,OFF_MATCH20_100,3
CMP_2026_REACT_LAPSED_01,D0000042,P00158,2026-01-05 16:53:00,59.32,EUR,OFF_MATCH20_100,0
CMP_2026_REACT_LAPSED_01,D0000043,P00167,2026-01-11 03:46:00,18.18,EUR,OFF_FS10,9
CMP_2026_REACT_LAPSED_01,D0000044,P00175,2026-01-10 11:34:00,22.46,EUR,OFF_FS10,5
CMP_2026_REACT_LAPSED_01,D0000045,P00188,2026-01-09 00:14:00,23.5,EUR,OFF_MATCH20_100,7
CMP_2026_REACT_LAPSED_01,D0000046,P00189,2026-01-12 05:42:00,19.43,EUR,OFF_FS10,9
CMP_2026_REACT_LAPSED_01,D0000047,P00194,2026-01-04 13:03:00,40.87,EUR,OFF_MATCH20_100,1
CMP_2026_REACT_LAPSED_01,D0000048,P00194,2026-01-03 22:12:00,65.38,EUR,OFF_MATCH20_100,0
CMP_2026_REACT_LAPSED_01,D0000049,P00198,2026-01-07 02:45:00,30.82,EUR,OFF_FS10,5
CMP_2026_REACT_LAPSED_01,D0000050,P00198,2026-01-05 18:04:00,28.87,EUR,OFF_FS10,3
CMP_2026_REACT_LAPSED_01,D0000051,P00203,2026-01-18 04:30:00,75.35,EUR,OFF_MATCH20_100,14
CMP_2026_REACT_LAPSED_01,D0000052,P00212,2026-01-12 00:27:00,79.7,EUR,OFF_MATCH20_100,7
CMP_2026_REACT_LAPSED_01,D0000053,P00216,2026-01-14 21:02:00,22.8,EUR,OFF_FS10,12
CMP_2026_REACT_LAPSED_01,D0000054,P00222,2026-01-15 04:43:00,49.57,EUR,OFF_FS10,11
CMP_2026_REACT_LAPSED_01,D0000055,P00222,2026-01-17 02:17:00,25.77,EUR,OFF_FS10,13
CMP_2026_REACT_LAPSED_01,D0000056,P00224,2026-01-09 18:17:00,50.92,EUR,OFF_FS10,5
CMP_2026_REACT_LAPSED_01,D0000057,P00227,2026-01-07 02:41:00,62.84,EUR,OFF_FS10,2
CMP_2026_REACT_LAPSED_01,D0000058,P00227,2026-01-13 17:44:00,23.81,EUR,OFF_FS10,8
CMP_2026_REACT_LAPSED_01,D0000059,P00229,2026-01-15 07:33:00,27.97,EUR,OFF_FS10,10
CMP_2026_REACT_LAPSED_01,D0000060,P00231,2026-01-13 05:34:00,85.86,EUR,OFF_MATCH20_100,11
CMP_2026_REACT_LAPSED_01,D0000061,P00238,2026-01-11 14:40:00,26.54,EUR,OFF_FS10,6
CMP_2026_REACT_LAPSED_01,D0000062,P00238,2026-01-18 21:34:00,16.86,EUR,OFF_FS10,13
CMP_2026_REACT_LAPSED_01,D0000063,P00238,2026-01-06 22:58:00,52.13,EUR,OFF_FS10,1
CMP_2026_REACT_LAPSED_01,D0000064,P00244,2026-01-06 00:35:00,36.21,EUR,OFF_MATCH20_100,2
CMP_2026_REACT_LAPSED_01,D0000065,P00260,2026-01-06 06:27:00,62.87,EUR,OFF_FS10,3
CMP_2026_REACT_LAPSED_01,D0000066,P00265,2026-01-05 01:14:00,24.75,EUR,OFF_FS10,2
CMP_2026_REACT_LAPSED_01,D0000067,P00265,2026-01-10 13:30:00,22.64,EUR,OFF_FS10,7
CMP_2026_REACT_LAPSED_01,D0000068,P00265,2026-01-06 19:13:00,60.25,EUR,OFF_FS10,3
CMP_2026_REACT_LAPSED_01,D0000069,P00266,2026-01-09 06:43:00,23.16,EUR,OFF_FS10,6
CMP_2026_REACT_LAPSED_01,D0000070,P00266,2026-01-11 18:33:00,25.97,EUR,OFF_FS10,8
CMP_2026_REACT_LAPSED_01,D0000071,P00270,2026-01-08 18:55:00,16.97,EUR,OFF_FS10,3
CMP_2026_REACT_LAPSED_01,D0000072,P00272,2026-01-08 20:25:00,39.12,EUR,OFF_MATCH20_100,4
